start_node,end_species,loss_summary,first_loss_after_node,gd_count,tree_gd_IDs,gene1_IDs,gene2_IDs,path_string,end_copy_number,S28,S27,S26,S25,S24,S23,S22,S21,S20,S19,S18,S17,S16,S15,S14,S13,S12,S11,S10,S9,S8,S7,S6,S5,S4,S3,S2,S1,S0,DUN,CHL,MAR,CER,GIN,AMB,NYM,BRA,ORY,ASP,CIN,LIR,AQU,COF,SOL,MIM,HEL,ACT,VIT,POP,ARA,PRU,CUC,PHA,GLY,MED,ARH,ARI,ARD,CEC
S22,ARH,Lost after S21,S21,1,OG0000637_252-25,arharahy.Tifrunner.gnm1.Arahy.08g00778,NA,S22(2)->S21(2)->S20(1)->S19(1)->S18(1)->S17(1)->S16(1)->S15(1)->S14(1)->S13(1)->S12(1)->ARH(1),1,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S20,ARH,Lost after S16,S16,1,OG0000658_248-62,NA,arharahy.Tifrunner.gnm1.Arahy.09g00444,S20(2)->S19(2)->S18(2)->S17(2)->S16(2)->S15(1)->S14(1)->S13(1)->S12(1)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S20,ARH,No duplicate lost,NA,2,OG0000665_247-77;OG0001307_159-153,arharahy.Tifrunner.gnm1.Arahy.08g02119;arharahy.Tifrunner.gnm1.Arahy.14g03725,arharahy.Tifrunner.gnm1.Arahy.10g00336;arharahy.Tifrunner.gnm1.Arahy.06g01562,S20(2)->S19(2)->S18(2)->S17(2)->S16(2)->S15(2)->S14(2)->S13(2)->S12(2)->ARH(2),2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
S19,ARH,Lost after S19,S19,1,OG0000633_253-22,NA,NA,S19(2)->S18(1)->S17(1)->S16(0)->S15(0)->S14(0)->S13(0)->S12(0)->ARH(0),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
S19,ARH,Lost after S16,S16,2,OG0000652_249-46;OG0001294_159-127,NA,arharahy.Tifrunner.gnm1.Arahy.09g01987;arharahy.Tifrunner.gnm1.Arahy.05g00043,S19(2)->S18(2)->S17(2)->S16(2)->S15(1)->S14(1)->S13(1)->S12(1)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S19,ARH,Lost after S16,S16,1,OG0000658_248-63,NA,NA,S19(2)->S18(2)->S17(2)->S16(2)->S15(0)->S14(0)->S13(0)->S12(0)->ARH(0),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
S19,ARH,Lost after S15,S15,2,OG0000648_249-34;OG0001277_161-113,NA,arharahy.Tifrunner.gnm1.Arahy.05g02793;arharahy.Tifrunner.gnm1.Arahy.07g01791,S19(2)->S18(2)->S17(2)->S16(2)->S15(2)->S14(1)->S13(1)->S12(1)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S19,ARH,Lost after S14,S14,2,OG0000637_252-29;OG0001278_161-117,arharahy.Tifrunner.gnm1.Arahy.14g00792,arharahy.Tifrunner.gnm1.Arahy.13g05073,S19(2)->S18(2)->S17(2)->S16(2)->S15(2)->S14(2)->S13(1)->S12(1)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S19,ARH,Lost after S13,S13,1,OG0000633_253-23,NA,arharahy.Tifrunner.gnm1.Arahy.12g00173,S19(2)->S18(2)->S17(2)->S16(2)->S15(2)->S14(2)->S13(2)->S12(1)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S19,ARH,No duplicate lost,NA,10,OG0000648_249-32;OG0000651_249-37;OG0000657_248-52;OG0000667_246-79;OG0001259_162-89;OG0001272_161-109;OG0001307_159-152;OG0001311_158-164;OG0001318_157-171;OG0004494_64-236,arharahy.Tifrunner.gnm1.Arahy.08g00966;arharahy.Tifrunner.gnm1.Arahy.08g00976;arharahy.Tifrunner.gnm1.Arahy.08g01658;arharahy.Tifrunner.gnm1.Arahy.12g02265;arharahy.Tifrunner.gnm1.Arahy.12g03203;arharahy.Tifrunner.gnm1.Arahy.06g03415;arharahy.Tifrunner.gnm1.Arahy.13g00518;arharahy.Tifrunner.gnm1.Arahy.06g02676;arharahy.Tifrunner.gnm1.Arahy.09g03317;arharahy.Tifrunner.gnm1.Arahy.08g00181,arharahy.Tifrunner.gnm1.Arahy.09g00376;arharahy.Tifrunner.gnm1.Arahy.19g00453;arharahy.Tifrunner.gnm1.Arahy.10g02692;arharahy.Tifrunner.gnm1.Arahy.07g00928;arharahy.Tifrunner.gnm1.Arahy.08g01962;arharahy.Tifrunner.gnm1.Arahy.05g00813;arharahy.Tifrunner.gnm1.Arahy.06g01562;arharahy.Tifrunner.gnm1.Arahy.06g03145;arharahy.Tifrunner.gnm1.Arahy.08g02935;arharahy.Tifrunner.gnm1.Arahy.05g02839,S19(2)->S18(2)->S17(2)->S16(2)->S15(2)->S14(2)->S13(2)->S12(2)->ARH(2),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
S15,ARH,Lost after S12,S12,1,OG0000652_249-45,arharahy.Tifrunner.gnm1.Arahy.09g01987,NA,S15(2)->S14(2)->S13(2)->S12(2)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S15,ARH,No duplicate lost,NA,3,OG0000629_253-12;OG0000665_247-67;OG0001267_162-100,arharahy.Tifrunner.gnm1.Arahy.09g00681;arharahy.Tifrunner.gnm1.Arahy.01g02857;arharahy.Tifrunner.gnm1.Arahy.12g00507,arharahy.Tifrunner.gnm1.Arahy.08g01196;arharahy.Tifrunner.gnm1.Arahy.14g00551;arharahy.Tifrunner.gnm1.Arahy.06g00183,S15(2)->S14(2)->S13(2)->S12(2)->ARH(2),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
S14,ARH,Lost after S14,S14,5,OG0000631_253-17;OG0001259_162-87;OG0001272_161-108;OG0001294_159-128;OG0001309_158-155,arharahy.Tifrunner.gnm1.Arahy.12g03203;arharahy.Tifrunner.gnm1.Arahy.05g00813,arharahy.Tifrunner.gnm1.Arahy.10g01949;arharahy.Tifrunner.gnm1.Arahy.09g01490;arharahy.Tifrunner.gnm1.Arahy.09g03142,S14(2)->S13(1)->S12(1)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S14,ARH,Lost after S12,S12,2,OG0000652_249-47;OG0002442_101-180,arharahy.Tifrunner.gnm1.Arahy.08g02847,arharahy.Tifrunner.gnm1.Arahy.12g01454,S14(2)->S13(2)->S12(2)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S14,ARH,No duplicate lost,NA,37,OG0000629_253-10;OG0000629_253-11;OG0000630_253-14;OG0000631_253-16;OG0000633_253-21;OG0000648_249-33;OG0000657_248-51;OG0000658_248-61;OG0000665_247-74;OG0000665_247-76;OG0001259_162-88;OG0001266_162-94;OG0001272_161-105;OG0001277_161-112;OG0001297_159-144;OG0001307_159-150;OG0001307_159-151;OG0001309_158-157;OG0001311_158-159;OG0001311_158-163;OG0001312_158-165;OG0001318_157-170;OG0001319_157-174;OG0002447_101-182;OG0002451_101-184;OG0002462_100-185;OG0002466_100-190;OG0002470_100-193;OG0002471_100-194;OG0002471_100-195;OG0002498_99-202;OG0002521_99-212;OG0002524_99-217;OG0004434_65-222;OG0004474_64-229;OG0004485_64-232;OG0004493_64-235,arharahy.Tifrunner.gnm1.Arahy.06g01993;arharahy.Tifrunner.gnm1.Arahy.09g00611;arharahy.Tifrunner.gnm1.Arahy.07g01299;arharahy.Tifrunner.gnm1.Arahy.13g03512;arharahy.Tifrunner.gnm1.Arahy.12g00173;arharahy.Tifrunner.gnm1.Arahy.05g02793;arharahy.Tifrunner.gnm1.Arahy.08g01658;arharahy.Tifrunner.gnm1.Arahy.09g00444;arharahy.Tifrunner.gnm1.Arahy.08g02119;arharahy.Tifrunner.gnm1.Arahy.10g00336;arharahy.Tifrunner.gnm1.Arahy.13g01991;arharahy.Tifrunner.gnm1.Arahy.01g02670;arharahy.Tifrunner.gnm1.Arahy.07g01185;arharahy.Tifrunner.gnm1.Arahy.09g00505;arharahy.Tifrunner.gnm1.Arahy.01g02275;arharahy.Tifrunner.gnm1.Arahy.14g03725;arharahy.Tifrunner.gnm1.Arahy.13g00518;arharahy.Tifrunner.gnm1.Arahy.13g02065;arharahy.Tifrunner.gnm1.Arahy.01g01599;arharahy.Tifrunner.gnm1.Arahy.08g01025;arharahy.Tifrunner.gnm1.Arahy.08g02955;arharahy.Tifrunner.gnm1.Arahy.08g02935;arharahy.Tifrunner.gnm1.Arahy.09g01122;arharahy.Tifrunner.gnm1.Arahy.05g00333;arharahy.Tifrunner.gnm1.Arahy.08g01089;arharahy.Tifrunner.gnm1.Arahy.13g04715;arharahy.Tifrunner.gnm1.Arahy.07g01419;arharahy.Tifrunner.gnm1.Arahy.07g00255;arharahy.Tifrunner.gnm1.Arahy.12g02864;arharahy.Tifrunner.gnm1.Arahy.08g00754;arharahy.Tifrunner.gnm1.Arahy.12g02817;arharahy.Tifrunner.gnm1.Arahy.05g02153;arharahy.Tifrunner.gnm1.Arahy.05g02195;arharahy.Tifrunner.gnm1.Arahy.01g01680;arharahy.Tifrunner.gnm1.Arahy.05g00278;arharahy.Tifrunner.gnm1.Arahy.13g01968;arharahy.Tifrunner.gnm1.Arahy.13g01975,arharahy.Tifrunner.gnm1.Arahy.12g03356;arharahy.Tifrunner.gnm1.Arahy.08g01196;arharahy.Tifrunner.gnm1.Arahy.14g00514;arharahy.Tifrunner.gnm1.Arahy.10g01949;arharahy.Tifrunner.gnm1.Arahy.14g02945;arharahy.Tifrunner.gnm1.Arahy.13g04389;arharahy.Tifrunner.gnm1.Arahy.13g01570;arharahy.Tifrunner.gnm1.Arahy.18g00210;arharahy.Tifrunner.gnm1.Arahy.13g02082;arharahy.Tifrunner.gnm1.Arahy.13g03760;arharahy.Tifrunner.gnm1.Arahy.08g01962;arharahy.Tifrunner.gnm1.Arahy.14g01102;arharahy.Tifrunner.gnm1.Arahy.11g00248;arharahy.Tifrunner.gnm1.Arahy.07g01791;arharahy.Tifrunner.gnm1.Arahy.08g02301;arharahy.Tifrunner.gnm1.Arahy.19g03431;arharahy.Tifrunner.gnm1.Arahy.18g00440;arharahy.Tifrunner.gnm1.Arahy.08g02076;arharahy.Tifrunner.gnm1.Arahy.05g01046;arharahy.Tifrunner.gnm1.Arahy.06g03145;arharahy.Tifrunner.gnm1.Arahy.13g03303;arharahy.Tifrunner.gnm1.Arahy.13g03329;arharahy.Tifrunner.gnm1.Arahy.06g00726;arharahy.Tifrunner.gnm1.Arahy.01g01005;arharahy.Tifrunner.gnm1.Arahy.06g03242;arharahy.Tifrunner.gnm1.Arahy.14g01374;arharahy.Tifrunner.gnm1.Arahy.05g02800;arharahy.Tifrunner.gnm1.Arahy.11g00768;arharahy.Tifrunner.gnm1.Arahy.10g03191;arharahy.Tifrunner.gnm1.Arahy.08g01146;arharahy.Tifrunner.gnm1.Arahy.14g02642;arharahy.Tifrunner.gnm1.Arahy.09g01885;arharahy.Tifrunner.gnm1.Arahy.09g01945;arharahy.Tifrunner.gnm1.Arahy.05g00973;arharahy.Tifrunner.gnm1.Arahy.01g01050;arharahy.Tifrunner.gnm1.Arahy.08g01939;arharahy.Tifrunner.gnm1.Arahy.08g01945,S14(2)->S13(2)->S12(2)->ARH(2),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
S13,ARH,Lost after S12,S12,1,OG0001297_159-135,arharahy.Tifrunner.gnm1.Arahy.08g02301,NA,S13(2)->S12(2)->ARH(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S13,ARH,No duplicate lost,NA,64,OG0000622_254-2;OG0000630_253-13;OG0000630_253-15;OG0000637_252-26;OG0000648_249-35;OG0000651_249-40;OG0000658_248-59;OG0000658_248-60;OG0000665_247-69;OG0000665_247-70;OG0000665_247-71;OG0000665_247-72;OG0001260_162-91;OG0001266_162-93;OG0001267_162-98;OG0001270_161-103;OG0001280_161-118;OG0001285_160-121;OG0001294_159-126;OG0001297_159-132;OG0001297_159-133;OG0001297_159-134;OG0001297_159-136;OG0001297_159-137;OG0001297_159-138;OG0001297_159-139;OG0001297_159-140;OG0001297_159-141;OG0001297_159-142;OG0001297_159-143;OG0001309_158-156;OG0001311_158-161;OG0001311_158-162;OG0001318_157-169;OG0002437_101-176;OG0002437_101-177;OG0002447_101-181;OG0002449_101-183;OG0002464_100-187;OG0002464_100-188;OG0002466_100-189;OG0002485_100-198;OG0002485_100-199;OG0002511_99-207;OG0002519_99-209;OG0002521_99-210;OG0002521_99-211;OG0004390_65-218;OG0004390_65-219;OG0004434_65-220;OG0004434_65-221;OG0004444_65-223;OG0004445_65-224;OG0004445_65-225;OG0004452_65-226;OG0004478_64-230;OG0004478_64-231;OG0004491_64-233;OG0004506_64-238;OG0004506_64-239;OG0004506_64-240;OG0007968_40-241;OG0008026_40-242;OG0008026_40-243,arharahy.Tifrunner.gnm1.Arahy.09g03166;arharahy.Tifrunner.gnm1.Arahy.07g01299;arharahy.Tifrunner.gnm1.Arahy.07g02419;arharahy.Tifrunner.gnm1.Arahy.14g03686;arharahy.Tifrunner.gnm1.Arahy.14g01087;arharahy.Tifrunner.gnm1.Arahy.09g00157;arharahy.Tifrunner.gnm1.Arahy.09g00448;arharahy.Tifrunner.gnm1.Arahy.09g00445;arharahy.Tifrunner.gnm1.Arahy.19g02052;arharahy.Tifrunner.gnm1.Arahy.10g02178;arharahy.Tifrunner.gnm1.Arahy.04g02882;arharahy.Tifrunner.gnm1.Arahy.09g00428;arharahy.Tifrunner.gnm1.Arahy.10g00023;arharahy.Tifrunner.gnm1.Arahy.16g03286;arharahy.Tifrunner.gnm1.Arahy.10g02522;arharahy.Tifrunner.gnm1.Arahy.14g00595;arharahy.Tifrunner.gnm1.Arahy.13g00660;arharahy.Tifrunner.gnm1.Arahy.12g00124;arharahy.Tifrunner.gnm1.Arahy.04g02205;arharahy.Tifrunner.gnm1.Arahy.18g02570;arharahy.Tifrunner.gnm1.Arahy.08g02302;arharahy.Tifrunner.gnm1.Arahy.08g02301;arharahy.Tifrunner.gnm1.Arahy.08g02303;arharahy.Tifrunner.gnm1.Arahy.18g02583;arharahy.Tifrunner.gnm1.Arahy.11g00761;arharahy.Tifrunner.gnm1.Arahy.11g00759;arharahy.Tifrunner.gnm1.Arahy.18g01536;arharahy.Tifrunner.gnm1.Arahy.06g02680;arharahy.Tifrunner.gnm1.Arahy.06g02676;arharahy.Tifrunner.gnm1.Arahy.09g03317;arharahy.Tifrunner.gnm1.Arahy.13g02555;arharahy.Tifrunner.gnm1.Arahy.08g02065;arharahy.Tifrunner.gnm1.Arahy.06g02949;arharahy.Tifrunner.gnm1.Arahy.06g02381;arharahy.Tifrunner.gnm1.Arahy.01g02138;arharahy.Tifrunner.gnm1.Arahy.07g00312;arharahy.Tifrunner.gnm1.Arahy.14g02645;arharahy.Tifrunner.gnm1.Arahy.07g00716;arharahy.Tifrunner.gnm1.Arahy.19g00919;arharahy.Tifrunner.gnm1.Arahy.05g00517;arharahy.Tifrunner.gnm1.Arahy.05g02157;arharahy.Tifrunner.gnm1.Arahy.05g02207;arharahy.Tifrunner.gnm1.Arahy.08g02295;arharahy.Tifrunner.gnm1.Arahy.01g02172;arharahy.Tifrunner.gnm1.Arahy.08g01608;arharahy.Tifrunner.gnm1.Arahy.10g01872;arharahy.Tifrunner.gnm1.Arahy.12g01374;arharahy.Tifrunner.gnm1.Arahy.20g03506;arharahy.Tifrunner.gnm1.Arahy.09g00668;arharahy.Tifrunner.gnm1.Arahy.10g03133;arharahy.Tifrunner.gnm1.Arahy.06g02094;arharahy.Tifrunner.gnm1.Arahy.12g02707;arharahy.Tifrunner.gnm1.Arahy.12g01931;arharahy.Tifrunner.gnm1.Arahy.11g00865;arharahy.Tifrunner.gnm1.Arahy.07g01856;arharahy.Tifrunner.gnm1.Arahy.06g00649,arharahy.Tifrunner.gnm1.Arahy.19g03447;arharahy.Tifrunner.gnm1.Arahy.01g02850;arharahy.Tifrunner.gnm1.Arahy.05g03557;arharahy.Tifrunner.gnm1.Arahy.14g02104;arharahy.Tifrunner.gnm1.Arahy.03g01143;arharahy.Tifrunner.gnm1.Arahy.18g00063;arharahy.Tifrunner.gnm1.Arahy.09g00445;arharahy.Tifrunner.gnm1.Arahy.09g00444;arharahy.Tifrunner.gnm1.Arahy.10g02178;arharahy.Tifrunner.gnm1.Arahy.07g01487;arharahy.Tifrunner.gnm1.Arahy.20g02850;arharahy.Tifrunner.gnm1.Arahy.09g02693;arharahy.Tifrunner.gnm1.Arahy.12g01651;arharahy.Tifrunner.gnm1.Arahy.01g02670;arharahy.Tifrunner.gnm1.Arahy.16g03282;arharahy.Tifrunner.gnm1.Arahy.08g00154;arharahy.Tifrunner.gnm1.Arahy.01g01063;arharahy.Tifrunner.gnm1.Arahy.06g01388;arharahy.Tifrunner.gnm1.Arahy.05g00043;arharahy.Tifrunner.gnm1.Arahy.08g02301;arharahy.Tifrunner.gnm1.Arahy.08g02407;arharahy.Tifrunner.gnm1.Arahy.08g02304;arharahy.Tifrunner.gnm1.Arahy.08g02303;arharahy.Tifrunner.gnm1.Arahy.08g02305;arharahy.Tifrunner.gnm1.Arahy.11g00759;arharahy.Tifrunner.gnm1.Arahy.11g00765;arharahy.Tifrunner.gnm1.Arahy.08g02076;arharahy.Tifrunner.gnm1.Arahy.06g02683;arharahy.Tifrunner.gnm1.Arahy.06g02680;arharahy.Tifrunner.gnm1.Arahy.15g01978;arharahy.Tifrunner.gnm1.Arahy.06g00598;arharahy.Tifrunner.gnm1.Arahy.02g02243;arharahy.Tifrunner.gnm1.Arahy.05g00333;arharahy.Tifrunner.gnm1.Arahy.01g03314;arharahy.Tifrunner.gnm1.Arahy.09g01914;arharahy.Tifrunner.gnm1.Arahy.01g02138;arharahy.Tifrunner.gnm1.Arahy.14g02654;arharahy.Tifrunner.gnm1.Arahy.11g01805;arharahy.Tifrunner.gnm1.Arahy.19g03781;arharahy.Tifrunner.gnm1.Arahy.13g03139;arharahy.Tifrunner.gnm1.Arahy.05g02625;arharahy.Tifrunner.gnm1.Arahy.15g03726;arharahy.Tifrunner.gnm1.Arahy.05g02153;arharahy.Tifrunner.gnm1.Arahy.12g01273;arharahy.Tifrunner.gnm1.Arahy.02g01124;arharahy.Tifrunner.gnm1.Arahy.08g01608;arharahy.Tifrunner.gnm1.Arahy.01g01680;arharahy.Tifrunner.gnm1.Arahy.12g01547;arharahy.Tifrunner.gnm1.Arahy.10g03061;arharahy.Tifrunner.gnm1.Arahy.13g03385;arharahy.Tifrunner.gnm1.Arahy.20g03578;arharahy.Tifrunner.gnm1.Arahy.10g03133;arharahy.Tifrunner.gnm1.Arahy.12g02769;arharahy.Tifrunner.gnm1.Arahy.02g01681;arharahy.Tifrunner.gnm1.Arahy.12g01931;arharahy.Tifrunner.gnm1.Arahy.01g00127;arharahy.Tifrunner.gnm1.Arahy.07g02528;arharahy.Tifrunner.gnm1.Arahy.16g00896;arharahy.Tifrunner.gnm1.Arahy.16g00897,S13(2)->S12(2)->ARH(2),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
S12,ARH,No duplicate lost,NA,3,OG0000665_247-75;OG0001266_162-92;OG0002485_100-197,arharahy.Tifrunner.gnm1.Arahy.20g00526;arharahy.Tifrunner.gnm1.Arahy.05g02881;arharahy.Tifrunner.gnm1.Arahy.17g02290,arharahy.Tifrunner.gnm1.Arahy.12g02611;arharahy.Tifrunner.gnm1.Arahy.15g02880;arharahy.Tifrunner.gnm1.Arahy.11g01805,S12(2)->ARH(2),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
S28,ARI,Lost after S28,S28,2,OG0000665_247-78;OG0004491_64-234,NA,LOC107617152;LOC107625933,S28(2)->S27(1)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S18(1)->S17(1)->S16(1)->S15(1)->S14(1)->S13(1)->S12(1)->ARI(1),1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
S28,ARI,Lost after S27,S27,1,OG0001267_162-102,NA,LOC107605189,S28(2)->S27(2)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S18(1)->S17(1)->S16(1)->S15(1)->S14(1)->S13(1)->S12(1)->ARI(1),1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
S27,ARI,Lost after S26,S26,1,OG0000652_249-50,NA,LOC107625212,S27(2)->S26(2)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S18(1)->S17(1)->S16(1)->S15(1)->S14(1)->S13(1)->S12(1)->ARI(1),1,NA,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
S27,ARI,Lost after S25,S25,2,OG0001259_162-90;OG0002498_99-203,NA,LOC107626254;LOC107627844,S27(2)->S26(2)->S25(2)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S18(1)->S17(1)->S16(1)->S15(1)->S14(1)->S13(1)->S12(1)->ARI(1),1,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
